,node,eign,closeness,betwness,centrality,community,density
5674,3040,3.830803140061331e-06,0,0,2,0,0.014265611807748836
5692,6299,2.0038696450781503e-05,0,0,2,0,0.014265611807748836
5763,4084,3.6737287340354326e-06,0,0,2,0,0.014265611807748836
5824,5565,1.018127606901029e-05,0,0,2,0,0.014265611807748836
5867,2248,1.3919045274052297e-05,0,0,2,0,0.014265611807748836
5953,3958,1.3753227060207034e-05,0,0,2,0,0.014265611807748836
5969,2655,5.23783281508736e-06,0,0,2,0,0.014265611807748836
5981,5035,4.2380331390117447e-07,0,0,2,0,0.014265611807748836
5982,6091,4.2380331390117447e-07,0,0,2,0,0.014265611807748836
6010,2406,0.00014075485938557595,0,0,2,0,0.014265611807748836
6019,5846,9.429560093162573e-06,0,0,2,0,0.014265611807748836
6020,2857,5.731018272619311e-06,0,0,2,0,0.014265611807748836
6034,6305,1.1673392394457901e-05,0,0,2,0,0.014265611807748836
6035,5001,9.624303115823252e-06,0,0,2,0,0.014265611807748836
6156,2550,1.8121243555639125e-05,0,0,2,0,0.014265611807748836
